NACE732;NACE732_LIB;NACE88;NACE88_LIB;NACE38;NACE38_LIB;NACE17;NACE17_LIB;NACE4;NACE4_LIB;NACE_GS;NACE_GS_LIB
2319Z;Fabrication et façonnage d'autres articles en verre, y compris verre technique;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2320Z;Fabrication de produits réfractaires;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2331Z;Fabrication de carreaux en céramique;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2332Z;Fabrication de briques, tuiles et produits de construction, en terre cuite;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2341Z;Fabrication d'articles céramiques à usage domestique ou ornemental;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2342Z;Fabrication d'appareils sanitaires en céramique;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2343Z;Fabrication d'isolateurs et pièces isolantes en céramique;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2344Z;Fabrication d'autres produits céramiques à usage technique;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2349Z;Fabrication d'autres produits céramiques;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2351Z;Fabrication de ciment;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2352Z;Fabrication de chaux et plâtre;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2361Z;Fabrication d'éléments en béton pour la construction;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2362Z;Fabrication d'éléments en plâtre pour la construction;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2363Z;Fabrication de béton prêt à l'emploi;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2364Z;Fabrication de mortiers et bétons secs;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2365Z;Fabrication d'ouvrages en fibre-ciment;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2369Z;Fabrication d'autres ouvrages en béton, en ciment ou en plâtre;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2370Z;Taille, façonnage et finissage de pierres;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2391Z;Fabrication de produits abrasifs;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2399Z;Fabrication d'autres produits minéraux non métalliques n.c.a.;23;Fabrication d'autres produits minéraux non métalliques;CG;Industrie des plastiques et autres produits non minéraux;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2410Z;Sidérurgie;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2420Z;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2431Z;étirage à froid de barres;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2432Z;Laminage à froid de feuillards;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2433Z;Profilage à froid par formage ou pliage;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2434Z;Tréfilage à froid;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2441Z;Production de métaux précieux;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2442Z;Métallurgie de l'aluminium;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2443Z;Métallurgie du plomb, du zinc ou de l'étain;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2444Z;Métallurgie du cuivre;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2445Z;Métallurgie des autres métaux non ferreux;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2446Z;élaboration et transformation de matières nucléaires;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2451Z;Fonderie de fonte;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2452Z;Fonderie d'acier;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2453Z;Fonderie de métaux légers;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2454Z;Fonderie d'autres métaux non ferreux;24;Métallurgie;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2511Z;Fabrication de structures métalliques et de parties de structures;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2512Z;Fabrication de portes et fenêtres en métal;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2521Z;Fabrication de radiateurs et de chaudières pour le chauffage central;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2529Z;Fabrication d'autres réservoirs, citernes et conteneurs métalliques;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2530Z;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2540Z;Fabrication d'armes et de munitions;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2550A;"Forge, estampage, matriçage ; métallurgie des poudres";25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2550B;Découpage, emboutissage;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2561Z;Traitement et revêtement des métaux;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2562A;Décolletage;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2562B;Mécanique industrielle;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2571Z;Fabrication de coutellerie;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2572Z;Fabrication de serrures et de ferrures;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2573A;Fabrication de moules et modèles;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2573B;Fabrication d'autres outillages;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2591Z;Fabrication de fûts et emballages métalliques similaires;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2592Z;Fabrication d'emballages métalliques légers;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2593Z;Fabrication d'articles en fils métalliques, de chaînes et de ressorts;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2594Z;Fabrication de vis et de boulons;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2599A;Fabrication d'articles métalliques ménagers;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2599B;Fabrication d'autres articles métalliques;25;Fabrication de produits métalliques, à l'exception des machines et des équipements;CH;Métallurgie et fabrication de produits métalliques;C5;Autres produits industriels;2;Industrie;GS1;Industrie
2611Z;Fabrication de composants électroniques;26;Fabrication de produits informatiques, électroniques et optiques;CI;Fabrication de produits informatiques, électroniques et optiques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2612Z;Fabrication de cartes électroniques assemblées;26;Fabrication de produits informatiques, électroniques et optiques;CI;Fabrication de produits informatiques, électroniques et optiques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2620Z;Fabrication d'ordinateurs et d'équipements périphériques;26;Fabrication de produits informatiques, électroniques et optiques;CI;Fabrication de produits informatiques, électroniques et optiques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2630Z;Fabrication d'équipements de communication;26;Fabrication de produits informatiques, électroniques et optiques;CI;Fabrication de produits informatiques, électroniques et optiques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2640Z;Fabrication de produits électroniques grand public;26;Fabrication de produits informatiques, électroniques et optiques;CI;Fabrication de produits informatiques, électroniques et optiques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2651A;Fabrication d'équipements d'aide à la navigation;26;Fabrication de produits informatiques, électroniques et optiques;CI;Fabrication de produits informatiques, électroniques et optiques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2651B;Fabrication d'instrumentation scientifique et technique;26;Fabrication de produits informatiques, électroniques et optiques;CI;Fabrication de produits informatiques, électroniques et optiques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2652Z;Horlogerie;26;Fabrication de produits informatiques, électroniques et optiques;CI;Fabrication de produits informatiques, électroniques et optiques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2660Z;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques;26;Fabrication de produits informatiques, électroniques et optiques;CI;Fabrication de produits informatiques, électroniques et optiques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2670Z;Fabrication de matériels optique et photographique;26;Fabrication de produits informatiques, électroniques et optiques;CI;Fabrication de produits informatiques, électroniques et optiques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2680Z;Fabrication de supports magnétiques et optiques;26;Fabrication de produits informatiques, électroniques et optiques;CI;Fabrication de produits informatiques, électroniques et optiques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2711Z;Fabrication de moteurs, génératrices et transformateurs électriques;27;Fabrication d'équipements électriques;CJ;Fabrication d'équipements électriques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2712Z;Fabrication de matériel de distribution et de commande électrique;27;Fabrication d'équipements électriques;CJ;Fabrication d'équipements électriques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2720Z;Fabrication de piles et d'accumulateurs électriques;27;Fabrication d'équipements électriques;CJ;Fabrication d'équipements électriques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2731Z;Fabrication de câbles de fibres optiques;27;Fabrication d'équipements électriques;CJ;Fabrication d'équipements électriques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2732Z;Fabrication d'autres fils et câbles électroniques ou électriques;27;Fabrication d'équipements électriques;CJ;Fabrication d'équipements électriques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2733Z;Fabrication de matériel d'installation électrique;27;Fabrication d'équipements électriques;CJ;Fabrication d'équipements électriques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2740Z;Fabrication d'appareils d'éclairage électrique;27;Fabrication d'équipements électriques;CJ;Fabrication d'équipements électriques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2751Z;Fabrication d'appareils électroménagers;27;Fabrication d'équipements électriques;CJ;Fabrication d'équipements électriques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2752Z;Fabrication d'appareils ménagers non électriques;27;Fabrication d'équipements électriques;CJ;Fabrication d'équipements électriques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2790Z;Fabrication d'autres matériels électriques;27;Fabrication d'équipements électriques;CJ;Fabrication d'équipements électriques;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2811Z;Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2812Z;Fabrication d'équipements hydrauliques et pneumatiques;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2813Z;Fabrication d'autres pompes et compresseurs;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2814Z;Fabrication d'autres articles de robinetterie;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2815Z;Fabrication d'engrenages et d'organes mécaniques de transmission;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2821Z;Fabrication de fours et brûleurs;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2822Z;Fabrication de matériel de levage et de manutention;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2823Z;Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques);28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2824Z;Fabrication d'outillage portatif à moteur incorporé;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2825Z;Fabrication d'équipements aérauliques et frigorifiques industriels;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2829A;Fabrication d'équipements d'emballage, de conditionnement et de pesage;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2829B;Fabrication d'autres machines d'usage général;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2830Z;Fabrication de machines agricoles et forestières;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2841Z;Fabrication de machines-outils pour le travail des métaux;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2849Z;Fabrication d'autres machines-outils;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2891Z;Fabrication de machines pour la métallurgie;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2892Z;Fabrication de machines pour l'extraction ou la construction;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2893Z;Fabrication de machines pour l'industrie agro-alimentaire;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2894Z;Fabrication de machines pour les industries textiles;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2895Z;Fabrication de machines pour les industries du papier et du carton;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2896Z;Fabrication de machines pour le travail du caoutchouc ou des plastiques;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2899A;Fabrication de machines d'imprimerie;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2899B;Fabrication d'autres machines spécialisées;28;Fabrication de machines et équipements n.c.a.;CK;Fabrication de machines et équipements n.c.a.;C3;Equipements electriques, electroniques,;2;Industrie;GS1;Industrie
2910Z;Construction de véhicules automobiles;29;Industrie automobile;CL;Fabrication de matériels de transport;C4;Fabrication de matériels de transport;2;Industrie;GS1;Industrie
2920Z;Fabrication de carrosseries et remorques;29;Industrie automobile;CL;Fabrication de matériels de transport;C4;Fabrication de matériels de transport;2;Industrie;GS1;Industrie
2931Z;Fabrication d'équipements électriques et électroniques automobiles;29;Industrie automobile;CL;Fabrication de matériels de transport;C4;Fabrication de matériels de transport;2;Industrie;GS1;Industrie
2932Z;Fabrication d'autres équipements automobiles;29;Industrie automobile;CL;Fabrication de matériels de transport;C4;Fabrication de matériels de transport;2;Industrie;GS1;Industrie
3011Z;Construction de navires et de structures flottantes;30;Fabrication d'autres matériels de transport;CL;Fabrication de matériels de transport;C4;Fabrication de matériels de transport;2;Industrie;GS1;Industrie
3012Z;Construction de bateaux de plaisance;30;Fabrication d'autres matériels de transport;CL;Fabrication de matériels de transport;C4;Fabrication de matériels de transport;2;Industrie;GS1;Industrie
3020Z;Construction de locomotives et d'autre matériel ferroviaire roulant;30;Fabrication d'autres matériels de transport;CL;Fabrication de matériels de transport;C4;Fabrication de matériels de transport;2;Industrie;GS1;Industrie
3030Z;Construction aéronautique et spatiale;30;Fabrication d'autres matériels de transport;CL;Fabrication de matériels de transport;C4;Fabrication de matériels de transport;2;Industrie;GS1;Industrie
3040Z;Construction de véhicules militaires de combat;30;Fabrication d'autres matériels de transport;CL;Fabrication de matériels de transport;C4;Fabrication de matériels de transport;2;Industrie;GS1;Industrie
3091Z;Fabrication de motocycles;30;Fabrication d'autres matériels de transport;CL;Fabrication de matériels de transport;C4;Fabrication de matériels de transport;2;Industrie;GS1;Industrie
3092Z;Fabrication de bicyclettes et de véhicules pour invalides;30;Fabrication d'autres matériels de transport;CL;Fabrication de matériels de transport;C4;Fabrication de matériels de transport;2;Industrie;GS1;Industrie
3099Z;Fabrication d'autres équipements de transport n.c.a.;30;Fabrication d'autres matériels de transport;CL;Fabrication de matériels de transport;C4;Fabrication de matériels de transport;2;Industrie;GS1;Industrie
3101Z;Fabrication de meubles de bureau et de magasin;31;Fabrication de meubles;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3102Z;Fabrication de meubles de cuisine;31;Fabrication de meubles;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3103Z;Fabrication de matelas;31;Fabrication de meubles;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3109A;Fabrication de sièges d'ameublement d'intérieur;31;Fabrication de meubles;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3109B;Fabrication d'autres meubles et industries connexes de l'ameublement;31;Fabrication de meubles;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3211Z;Frappe de monnaie;32;autres industries manufacturières;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3212Z;Fabrication d'articles de joaillerie et bijouterie;32;autres industries manufacturières;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3213Z;Fabrication d'articles de bijouterie fantaisie et articles similaires;32;autres industries manufacturières;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3220Z;Fabrication d'instruments de musique;32;autres industries manufacturières;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3230Z;Fabrication d'articles de sport;32;autres industries manufacturières;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3240Z;Fabrication de jeux et jouets;32;autres industries manufacturières;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3250A;Fabrication de matériel médico-chirurgical et dentaire;32;autres industries manufacturières;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3250B;Fabrication de lunettes;32;autres industries manufacturières;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3291Z;Fabrication d'articles de brosserie;32;autres industries manufacturières;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3299Z;autres activités manufacturières n.c.a.;32;autres industries manufacturières;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3311Z;Réparation d'ouvrages en métaux;33;Réparation et installation de machines et d'équipements;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3312Z;Réparation de machines et équipements mécaniques;33;Réparation et installation de machines et d'équipements;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3313Z;Réparation de matériels électroniques et optiques;33;Réparation et installation de machines et d'équipements;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3314Z;Réparation d'équipements électriques;33;Réparation et installation de machines et d'équipements;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3315Z;Réparation et maintenance navale;33;Réparation et installation de machines et d'équipements;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3316Z;Réparation et maintenance d'aéronefs et d'engins spatiaux;33;Réparation et installation de machines et d'équipements;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3317Z;Réparation et maintenance d'autres équipements de transport;33;Réparation et installation de machines et d'équipements;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3319Z;Réparation d'autres équipements;33;Réparation et installation de machines et d'équipements;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3320A;Installation de structures métalliques, chaudronnées et de tuyauterie;33;Réparation et installation de machines et d'équipements;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3320B;Installation de machines et équipements mécaniques;33;Réparation et installation de machines et d'équipements;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3320C;Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels;33;Réparation et installation de machines et d'équipements;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3320D;Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels;33;Réparation et installation de machines et d'équipements;CM;"Industrie du meuble et diverses ; réparation et installation de machines";C5;Autres produits industriels;2;Industrie;GS1;Industrie
3511Z;Production d'électricité;35;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;DZ;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;DE;Industries extractives,  energie, eau;2;Industrie;GS1;Industrie
3512Z;Transport d'électricité;35;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;DZ;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;DE;Industries extractives,  energie, eau;2;Industrie;GS1;Industrie
3513Z;Distribution d'électricité;35;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;DZ;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;DE;Industries extractives,  energie, eau;2;Industrie;GS1;Industrie
3514Z;Commerce d'électricité;35;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;DZ;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;DE;Industries extractives,  energie, eau;2;Industrie;GS1;Industrie
